Team_Home,Home_Score,Team_Away,Away_Score
Brentford,3,Man_United,1
Leeds_United,2,Bournemouth,2
Chelsea,1,Brighton,3
Man_City,5,Burnley,1
Crystal_Palace,2,Liverpool,1
Nttm_Forest,0,Sunderland,1
Tottenham,1,Wolves,1
Aston_Villa,3,Fulham,1
Newcastle,1,Arsenal,2
Everton,1,West_Ham,1
