Team_Home,Home_Score,Team_Away,Away_Score
Arsenal,3,Nttm_Forest,0
Bournemouth,2,Brighton,1
Newcastle,1,Wolves,0
Everton,0,Aston_Villa,0
Crystal_Palace,0,Sunderland,0
Fulham,1,Leeds_United,0
West_Ham,0,Tottenham,3
Brentford,2,Chelsea,2
Burnley,0,Liverpool,1
Man_city,3,Man_United,0
