Team_Home,Home_Score,Team_Away,Away_Score
Liverpool,2,Everton,1
Burnley,1,Nttm_Forest,1
Brighton,2,Tottenham,2
West_ham,1,Crystal_Palace,2
Wolves,1,Leeds_United,3
Man_United,2,Chelsea,1
Fulham,3,Brentford,1
Sunderland,1,Aston_Villa,1
Bournemouth,0,Newcastle,0
Arsenal,1,Man_city,1
