Team_Home,Home_Score,Team_Away,Away_Score
West_Ham,1,Chelsea,5
Man_city,0,Tottenham,2
Bournemouth,1,Wolves,0
Burnley,2,Sunderland,0
Brentford,1,Aston_Villa,0
Arsenal,5,Leeds_United,0
Crystal_Palace,1,Nttm_Forest,1
Everton,2,Brighton,0
Fulham,1,Man_United,1
Newcastle,2,Liverpool,3
