Team_Home,Home_Score,Team_Away,Away_Score
Bournemouth,3,Fulham,1
Leeds_United,1,Tottenham,2
Man_United,2,Sunderland,0
Arsenal,2,West_Ham,0
Chelsea,2,Liverpool,1
Everton,2,Crystal_Palace,1
Newcastle,2,Nttm_Forest,0
Wolves,1,Brighton,1
Aston_Villa,2,Burnley,1
Brentford,0,Man_City,1
