Team_Home,Home_Score,Team_Away,Away_Score
Chelsea,2,Fulham,0
Wolves,2,Everton,3
Tottenham,0,Bournemouth,1
Man_United,3,Burnley,2
Sunderland,2,Brentford,1
Leeds_United,0,Newcastle,0
Brighton,2,Man_City,1
Nttm_Forest,0,West_Ham,3
Liverpool,1,Arsenal,0
Aston_Villa,0,Crystal_Palace,3
